"","Breast","Bladder","Colon","Lung","Liver","Mesothelium","Prostate","Squamous","Testicular"
"Breast",NA,0.176470588235294,0,0,0,0,0.25,0.0526315789473684,0
"Bladder",0.0537453812562983,NA,0,0,0,0,0,0.25,0
"Colon",0.00960080848913593,0.0410479294941446,NA,0,0.176470588235294,0,0.0526315789473684,0,0
"Lung",0.0207134637514384,0.020222793487575,0.0118102219507229,NA,0,0,0.111111111111111,0,0
"Liver",0.0242196651278164,0.0141432282479715,0.0576306357291077,0.0116044997039668,NA,0,0.0526315789473684,0,0
"Mesothelium",0.00677551927135399,0.0069406025247699,0.004833120554441,0.0125595495885665,0.0214275213172596,NA,0,0,0
"Prostate",0.131370509640771,0.0441176470588235,0.0385856239514776,0.0118838396518537,0.028598536188669,0.00707213578500707,NA,0,0
"Squamous",0.00891668114179839,0.149880952380952,0.0131060354242842,0.015702416342709,0.00359379052276685,0.0113628942728401,0.01171875,NA,0.0526315789473684
"Testicular",0.00936167136557507,0.0174708250870129,0.0130147012028257,0.0119351002378525,0.0102943152802043,0.0113640786145164,0.0076112412177986,0.0204625257295072,NA
